k,class_subset,embedding,clustering,precision,recall,f1
5,"[0, 1, 2, 3, 4]",fasttext_pretrained,spectral,0.3451,0.3075,0.2201
2,"[0, 1]",glove_pretrained,kmeans,0.8764,0.8809,0.878
2,"[0, 1]",glove_pretrained,hac,0.8331,0.8006,0.8074
2,"[0, 1]",glove_pretrained,spectral,0.8997,0.8884,0.8926
2,"[0, 1]",glove_pretrained,dbscan,0.3161,0.4899,0.3604
2,"[0, 1]",glove_pretrained,hdbscan,0.7368,0.5164,0.4009
2,"[0, 2]",glove_pretrained,kmeans,0.7814,0.7815,0.781
2,"[0, 2]",glove_pretrained,hac,0.7326,0.7328,0.7325
2,"[0, 2]",glove_pretrained,spectral,0.7904,0.7888,0.7874
2,"[0, 2]",glove_pretrained,dbscan,0.7576,0.5034,0.3467
2,"[0, 2]",glove_pretrained,hdbscan,0.7589,0.5084,0.3577
2,"[0, 3]",glove_pretrained,kmeans,0.7806,0.7973,0.7738
2,"[0, 3]",glove_pretrained,hac,0.6998,0.6845,0.6293
2,"[0, 3]",glove_pretrained,spectral,0.7847,0.8009,0.7744
2,"[0, 4]",glove_pretrained,kmeans,0.8265,0.8355,0.8283
2,"[0, 4]",glove_pretrained,hac,0.8118,0.8202,0.8038
2,"[0, 4]",glove_pretrained,spectral,0.8526,0.8626,0.8544
2,"[0, 4]",glove_pretrained,dbscan,0.4512,0.4549,0.4252
2,"[0, 4]",glove_pretrained,hdbscan,0.463,0.4621,0.4543
2,"[1, 2]",glove_pretrained,kmeans,0.8024,0.8064,0.8012
2,"[1, 2]",glove_pretrained,hac,0.7369,0.7394,0.7328
2,"[1, 2]",glove_pretrained,spectral,0.8506,0.8422,0.845
2,"[1, 2]",glove_pretrained,dbscan,0.693,0.5116,0.334
2,"[1, 2]",glove_pretrained,hdbscan,0.7228,0.5059,0.3199
2,"[1, 3]",glove_pretrained,kmeans,0.7474,0.7311,0.7332
2,"[1, 3]",glove_pretrained,hac,0.7151,0.7067,0.7082
2,"[1, 3]",glove_pretrained,spectral,0.7608,0.7576,0.7587
2,"[1, 3]",glove_pretrained,hdbscan,0.7771,0.5065,0.3694
2,"[1, 4]",glove_pretrained,kmeans,0.8452,0.8371,0.8409
2,"[1, 4]",glove_pretrained,hac,0.867,0.7401,0.7625
2,"[1, 4]",glove_pretrained,spectral,0.8934,0.7748,0.8004
2,"[1, 4]",glove_pretrained,dbscan,0.5612,0.5181,0.4681
2,"[1, 4]",glove_pretrained,hdbscan,0.5319,0.529,0.5284
2,"[2, 3]",glove_pretrained,kmeans,0.5175,0.5177,0.4964
2,"[2, 3]",glove_pretrained,hac,0.5564,0.5552,0.5555
2,"[2, 3]",glove_pretrained,spectral,0.5343,0.5286,0.4716
2,"[2, 3]",glove_pretrained,dbscan,0.3027,0.4966,0.3761
2,"[2, 3]",glove_pretrained,hdbscan,0.5029,0.5022,0.4888
2,"[2, 4]",glove_pretrained,kmeans,0.7517,0.7541,0.7528
2,"[2, 4]",glove_pretrained,hac,0.7747,0.7703,0.7723
